city age religion educatn occupatn gender income;
1 33 1 5 2 1 126 
1 35 2 2 1 2 114
1 40 4 2 2 1 141
1 37 4 5 2 1 186
1 51 3 1 . 1 87
1 36 1 3 1 2 96
1 29 3 3 1 2 114
1 44 4 4 2 1 144
1 35 2 5 2 1 216
1 55 4 2 3 1 249
1 48 1 5 3 1 297
1 43 3 4 1 1 150
1 41 3 4 2 1 111
1 30 4 3 3 1 270
1 41 4 4 2 2 .
1 58 3 4 3 1 141
1 47 1 3 1 1 90
1 36 4 4 3 1 177
1 47 1 4 1 2 129
1 53 3 4 2 1 117
2 50 2 4 3 1 174
2 47 4 4 2 1 144
2 38 3 4 2 2 126
2 41 3 3 3 1 141
2 36 2 4 2 2 96
2 51 4 1 1 1 60
2 42 1 3 3 2 147
2 61 4 5 2 1 186
2 54 2 2 1 2 87
2 42 4 2 3 1 141
2 47 3 3 1 1 93
2 32 3 5 3 1 240
2 37 1 4 2 1 153
2 30 3 5 2 1 186
2 39 3 5 2 1 210
3 35 1 5 2 1 174
3 61 1 4 1 2 114
3 65 4 1 1 1 66
3 44 3 3 1 2 96
3 34 4 3 3 1 144
3 38 2 2 1 2 75
3 49 1 4 2 1 114
3 29 4 5 2 1 177
3 28 3 4 2 1 .
3 38 3 4 2 1 108
3 47 3 5 3 1 270

