id  region blood grade cost  money  type distance   height weight enttype
001 2 1 2 100 15 4 . 158 47 2
002 1 2 1 500 10 1 . 166 56 2
003 1 1 2 200 20 1 0.2 165 53 1
004 2 1 2 100 17 4 . 167 68 2
005 2 1 1 300 21 4 20 185 73 2
006 1 2 2 150 30 1 0.7 170 60 2
007 2 3 1 100 20 1 0.2 162 57 2
008 2 2 2 300 50 4 60 180 60 2
009 3 1 3 200 70 3 0.3 184 64 2
010 2 1 1 100 20 4 . 163 55 2
011 1 4 2 100 22 3 0.1 179 70 2
012 2 4 2 150 15 4 1 168 58 2
013 2 2 2 200 20 3 0.1 177 62 .
014 2 4 1 50 15 4 . 160 55 1
015 2 1 3 100 8 1 0 165 57 2
016 2 2 2 150 30 4 . 165 62 2
017 2 2 1 50 65 4 20 179 66 2
018 1 3 2 20 2 4 3 174 64 2
019 2 3 2 150 27 4 100 172 67 2
020 2 2 1 100 4 4 7 165 53 2
021 2 1 1 70 . 1 1 165 58 2
022 1 3 1 100 9 4 . 153 43 1
023 2 1 1 100 30 4 . 168 65 1
024 2 3 1 100  8 1 2 152 48 1
025 1 4 1 150 8 4 . 163 . 2
026 2 2 1 50 25 4 . 170 . 2
027 2 1 2 500 16 1 . 163 55 1
028 2 1 2 200 25 4 . 160 46 2
029 2 1 2 . 50 4 . 162 52 2
030 2 1 1 200 9 4 . 163 49 2
031 1 4 1 200 9 1 0.4 162 52 2
032 2 4 2 200 20 1 . 160 43 2
033 2 1 1 150 5 1 . 160 46 2
034 2 2 1 200 50 1 . 165 47 1
035 2 4 1 150 10 4 . 162 . 2
036 1 4 1 200 8 1 . 155 . 2
037 2 1 1 150 5 1 . 161 . 2
038 2 1 1 100 18 4 30 160 . 2
039 1 4 2 100 5 4 15 158 48 2
040 3 1 2 50 40 1 . 165 . 2
041 2 2 1 100  2 4 12 158 48 2
042 1 4 1 300 50 1 . 164 49 2
043 2 4 2 200 50 4 40 155 58 2

