ID COLLEGE GRADE LC1 LC2 LC3 LC4 LCTOTAL RC1 RC2 RC3 RCTOTAL
001 1 2 17 24 20 14 305 34 14 34 350
002 1 4 18 24 24 14 355 25 12 32 265
003 1 4 15 24 25 15 350 29 10 31 270
004 1 5 14 27 20 14 305 32 13 31 300
005 1 4 15 19 16 14 235 32 15 34 345
006 1 4 16 23 23 14 315 29 6 26 225
007 1 4 18 22 19 13 280 28 14 26 260
008 1 4 17 25 20 11 290 27 8 26 225
009 1 3 14 18 21 8 220 31 11 31 285
010 1 4 13 20 18 13 235 27 8 34 265
011 1 3 15 19 16 10 215 31 11 30 280
012 1 4 13 24 18 12 250 29 14 20 235
013 1 3 14 23 15 14 245 27 10 27 240
014 1 4 14 21 19 9 230 30 10 26 250
015 1 3 13 21 18 12 235 28 7 29 240
016 1 4 13 22 15 11 220 28 12 27 255
017 1 3 14 18 17 11 215 25 10 33 260
018 1 4 15 22 14 15 245 20 12 29 225
019 1 4 12 20 16 16 235 26 12 25 235
020 1 4 15 16 17 13 220 34 10 22 250
021 1 4 14 22 20 12 255 25 5 28 210
022 1 4 15 18 14 14 220 25 15 24 240
023 1 4 17 18 15 11 220 28 7 28 235
024 1 4 15 22 17 12 245 25 9 22 200
025 1 4 16 19 17 12 235 26 13 18 205
026 1 4 13 25 22 10 265 18 5 26 165
027 1 4 15 17 15 13 215 22 10 27 215
028 1 4 15 19 17 9 215 29 9 19 205 
029 1 4 13 17 15 12 200 24 10 26 220
030 1 4 17 21 18 6 225 20 9 24 185
031 1 4 15 11 22 9 200 26 11 21 210
032 1 4 11 19 15 9 185 24 9 28 225
033 1 2 14 21 11 12 205 21 7 27 195
034 1 3 14 15 14 12 190 25 7 25 205
035 1 3 12 20 14 12 205 20 8 25 185
036 1 4 15 18 12 10 190 28 7 21 200
037 1 4 15 17 18 10 215 16 9 25 170
038 1 3 14 14 17 10 190 18 6 31 195
039 1 4 12 14 19 9 185 22 5 29 200
040 1 4 14 19 10 10 180 22 5 30 205
041 1 4 12 15 13 13 180 27 4 25 200
042 1 4 12 18 10 13 180 25 3 26 190
043 1 4 16 16 18 9 210 18 3 26 155
044 1 4 12 20 13 9 185 20 8 24 180
045 1 3 13 18 12 10 180 25 6 22 185
046 1 4 14 16 16 8 185 21 10 20 175
047 1 4 15 14 13 10 175 26 14 13 185
048 1 3 11 14 13 8 145 25 9 25 215
049 1 3 12 13 11 8 135 22 8 31 225
050 1 4 12 15 18 11 195 23 3 22 160
051 1 4 14 20 10 10 185 19 13 18 170
052 1 4 10 17 16 11 185 20 6 24 170
053 1 3 12 17 15 10 185 22 13 15 170
054 1 4 12 19 10 12 180 26 6 19 175
055 1 4 13 14 12 10 160 21 6 28 195
056 1 4 15 17 15 11 205 20 7 18 145
057 1 2 17 15 15 9 195 26 8 13 155
058 1 4 7 15 20 6 155 22 8 25 195
059 1 4 15 18 14 11 205 17 6 21 140
060 1 4 10 21 14 13 205 20 4 20 140
061 1 4 9 18 20 10 200 16 8 20 140
062 1 4 9 17 17 13 195 18 6 21 145
063 1 4 12 17 14 10 180 18 7 22 155
064 1 4 13 15 17 8 180 21 4 22 155
065 1 3 12 20 17 7 195 20 9 14 135 
066 1 4 10 15 15 7 150 21 5 26 180
067 1 4 10 16 12 7 140 23 7 24 190
068 1 3 11 19 15 9 185 19 3 22 140
069 1 4 13 18 12 11 185 18 8 17 135
070 1 4 13 11 14 11 160 23 5 20 160
071 1 4 11 14 8 11 135 22 8 22 180
072 1 4 10 16 11 6 130 25 7 21 185
073 1 4 13 8 10 11 125 22 6 26 190
074 1 4 11 15 14 11 170 19 6 19 140
075 1 4 9 16 11 7 130 27 7 18 180
076 1 4 13 10 9 10 125 20 10 23 185
077 1 4 9 10 15 7 120 23 10 21 190 
078 1 4 14 18 11 7 165 20 7 19 150
079 1 4 14 17 13 11 190 21 6 12 115
080 1 4 10 16 12 11 160 23 6 16 145
081 1 2 11 16 9 8 135 17 10 23 170
082 1 3 10 14 15 8 150 20 6 20 150
083 1 4 12 16 10 8 145 19 6 22 155
084 1 4 12 10 17 7 145 22 5 20 155
085 1 4 12 15 9 8 135 20 6 23 165 
086 1 3 7 14 9 10 115 21 10 22 185
087 1 4 13 17 10 10 165 20 4 15 115
088 1 4 7 18 12 5 125 10 4 31 145
089 1 4 9 12 12 8 120 18 8 20 150
090 1 4 10 11 6 8  90 20 8 24 180
091 1 4 15 15 11 6 150 17 6 16 115
092 1 4 9 18 12 10 160 13 5 19 105
093 1 4 9 15 14 8 145 19 6 15 120
094 1 4 11 14 13 4 125 16 7 21 140
095 1 1 12 11 8 8 110 19 10 18 155
096 1 4 10 13 11 13 150 13 6 19 110
097 1 4 10 14 8 11 130 19 3 20 130
098 1 3 8 15 11 7 120 13 13 17 135 
099 1 4 10 17 11 12 165 13 4 15 80
100 1 4 12 15 11 8 145 15 7 14 100
101 1 3 9 13 14 5 120 18 5 17 120
102 1 4 12 15 11 10 155 15 5 12 80
103 1 4 8 13 18 8 150 14 4 13 75
104 1 4 11 15 11 7 135 7 6 21 90
105 1 3 8 12 11 9 115 12 1 22 95
106 1 3 11 11 7 4  80 4 11 26 125
107 1 3 9 11 9 8 105 11 9 14 90
108 1 4 8 12 13 4 100 15 3 14 80
109 1 4 12 11 10 5 105 13 3 14 70
201 2 3 17 27 22 11 330 35 11 37 360
202 2 4 17 23 25 15 355 23 13 37 285
203 2 4 16 24 21 11 280 34 14 32 335
204 2 4 15 25 21 9 265 26 11 34 275
205 2 4 15 22 15 12 235 30 11 34 295
206 2 3 18 21 20 16 305 21 7 23 175
207 2 3 12 16 16 13 200 26 13 33 280
208 2 4 16 21 21 12 265 24 7 25 200
209 2 3 12 17 16 12 200 30 8 31 265
210 2 3 15 17 20 12 235 27 12 21 220
211 2 4 13 25 20 12 265 21 8 24 185
212 2 4 14 20 19 8 220 26 10 24 220
213 2 4 16 19 16 12 230 22 6 29 205
214 2 3 12 20 18 13 230 21 8 28 205
215 2 3 11 19 18 13 220 27 8 24 215 
216 2 3 15 15 13 10 180 25 14 28 255
217 2 3 9 21 14 13 200 27 9 26 230
218 2 4 11 15 13 10 160 27 11 30 260
219 2 3 14 17 15 11 200 19 12 28 215
220 2 4 12 20 16 13 220 23 8 23 190
221 2 3 14 16 15 11 195 25 6 28 215
222 2 3 10 14 20 11 190 25 13 22 220
223 2 3 15 17 17 9 205 21 7 28 200
224 2 1 13 22 13 12 215 18 9 25 180
225 2 3 15 18 18 9 215 21 6 24 175
226 2 4 17 16 18 8 210 20 12 20 180
227 2 4 11 16 20 12 210 21 3 26 170
228 2 4 17 16 14 11 205 21 4 26 175
229 2 4 12 23 9 11 190 23 13 18 190
230 2 4 9 16 17 8 165 26 12 21 215
231 2 4 11 14 11 11 150 27 10 25 230
232 2 1 10 16 17 9 175 26 10 20 200
233 2 4 16 21 17 7 220 15 10 21 150
234 2 4 14 22 14 8 205 17 9 23 165
235 2 4 9 18 19 9 190 25 10 17 180
236 2 4 8 18 16 10 175 22 10 23 195
237 2 5 14 15 10 12 170 27 12 17 200
238 2 4 10 12 12 11 140 28 8 26 230
239 2 4 14 17 18 10 210 18 5 24 155
240 2 4 12 18 17 7 185 22 8 22 180
241 2 4 15 16 11 16 205 21 6 20 155
242 2 4 12 21 16 11 215 18 8 18 140
243 2 4 14 16 16 7 180 27 10 14 175
244 2 4 12 13 16 9 165 22 10 22 190
245 2 4 16 15 9 6 145 28 7 23 210
246 2 3 11 12 13 10 145 23 8 27 210
247 2 4 13 20 15 13 220 15 4 23 130
248 2 4 13 15 15 9 175 26 10 15 175
249 2 4 10 13 14 11 155 22 11 22 195
250 2 4 8 17 12 7 135 25 11 23 215
251 2 3 13 11 17 7 155 24 8 22 190
252 2 4 16 15 15 11 200 19 7 18 140
253 2 4 10 14 17 13 185 22 4 21 155
254 2 3 11 21 13 7 175 19 9 21 165
255 2 4 11 16 13 11 170 20 9 21 170
256 2 4 13 12 15 11 170 18 4 27 165
257 2 3 12 13 10 9 135 23 8 25 200
258 2 4 12 18 15 10 190 20 11 13 140 
259 2 3 11 12 16 10 160 21 4 25 170
260 2 4 15 17 17 12 220 13 2 22 105
261 2 4 12 14 14 11 170 23 7 17 155
262 2 4 11 16 12 9 155 16 12 21 165
263 2 2 13 14 14 8 160 15 8 24 155
264 2 4 11 18 15 8 175 16 8 18 130
265 2 3 8 15 13 12 155 20 9 17 150
266 2 3 9 18 9 9 140 18 8 21 155
267 2 4 12 13 18 12 190 13 7 16 100
268 2 4 8 11 11 12 125 16 8 25 165
269 2 4 7 13 14 9 130 20 7 20 155
270 2 4 7 17 14 8 145 19 7 17 135
271 2 3 7 9 11 14 120 18 7 23 160
272 2 3 12 15 14 8 160 17 8 14 115
273 2 4 11 15 11 8 140 16 6 21 135 
274 2 4 8 14 9 9 115 20 10 17 155
275 2 4 12 11 14 10 150 14 5 20 115
276 2 4 10 18 11 6 140 13 7 21 125
277 2 3 12 12 13 7 135 18 11 13 130
278 2 3 12 15 11 11 160 19 7 10 100
279 2 4 9 15 10 11 140 18 6 16 120
280 2 4 13 15 8 6 125 22 7 14 135
281 2 4 9 14 9 8 115 18 7 20 145
282 2 4 9 15 13 9 145 18 4 15 105
283 2 4 7 17 14 8 145 14 7 15 100
284 2 4 9 13 14 6 125 13 6 21 120
285 2 4 12 14 12 10 155 16 5 10 75
286 2 3 11 21 6 6 135 12 5 17 90
287 2 3 8 21 5 6 115 12 6 17 95
288 2 4 9 12 6 9  95 13 5 21 115
289 2 4 10 11 10 8 110 12 4 19 95
290 2 4 5 16 11 8 115 14 4 14 80
291 2 4 9 13 11 8 120 8 6 12 50
292 2 4 7 13 7 9  95 15 4 12 75
293 2 3 9 7 8 12  95 9 7 13 65
294 2 4 6 8 12 8  85 10 4 10 40
295 2 4 7 12 9 5  80 10 3 11 40
296 2 4 7 17 6 5  90 8 7 6 25
297 2 4 5 8 9 6  55 7 8 9 40
301 3 3 18 28 28 16 430 32 13 36 345
302 3 4 14 27 24 16 360 35 14 35 370
303 3 4 15 27 21 14 330 32 10 35 305
